"State","Population"
"Alabama","4,779,736"
"Alaska",""
"Arizona","7,171,646"
"Arkansas",""
"California","39,557,045"
"Colorado","5,029,196"
"Connecticut","3,574,097"
"Delaware",""
"Florida","21,299,325"
"Georgia","10,519,475"
"Hawaii",""
"Idaho",""
"Illinois","12,741,080"
"Indiana","6,691,878"
"Iowa",""
"Kansas",""
"Kentucky","4,339,367"
"Louisiana","4,533,372"
"Maine",""
"Montana",""
"Nebraska",""
"Nevada",""
"New Hampshire",""
"New Jersey","8,908,520"
"New Mexico",""
"New York","19,542,209"
"North Carolina","10,383,620"
"North Dakota",""
"Ohio","11,689,442"
"Oklahoma","3,751,351"
"Oregon","3,831,074"
"Maryland",""
"Massachusetts","6,902,149"
"Michigan","9,995,915"
"Minnesota","5,303,925"
"Mississippi",""
"Missouri","6,126,452"
"Pennsylvania","12,807,060"
"Rhode Island",""
"South Carolina","4,625,364"
"South Dakota",""
"Tennessee","6,770,010"
"Texas","28,701,845"
"Utah",""
"Vermont",""
"Virginia","8,517,685"
"Washington","7,535,591"
"West Virginia",""
"Wisconsin","5,686,986"
"Wyoming",""